problem_idx,answer_unchanged,original_answer,perturbed_answer
816,False,\dfrac{3}{7},\dfrac{4}{13}
817,False,\frac{3}{2},1
818,False,32,26
819,False,"(5, -10)","(7, -12)"
820,False,4624,7744
821,False,2\sqrt{10},2\sqrt{13}
822,False,208,260
823,False,17,21
824,False,13225,15625
825,False,25,49
826,False,10,5
827,True,1,1
828,False,53,31
829,False,\frac{255}{64},\frac{156}{25}
830,False,\frac{9}{25},\frac{11}{36}
831,False,16,9
832,False,3.5,4.0
833,False,567,405
834,False,\frac{11+9a}{20},\frac{15+9a}{20}
835,False,23,11
836,False,-56,-40
837,False,-42,-94
838,False,10,12
839,False,8,10
840,False,29,30
841,False,-18,-8
842,False,\frac{31}{6},\frac{19}{6}
843,False,-1,0
844,False,\frac{121}{25},\frac{121}{49}
845,False,1,4
846,False,"(2,3)","(3,4)"
847,False,5400,7200
848,False,22.8,24.6
849,False,12,18
850,True,1,1
851,False,31,156
852,False,"(-11,9)","(-9,8)"
853,False,20,32
854,False,\$18.90,\$21.60
855,False,z^5-3z^4+6z^3-14z^2+14z-4,z^5-3z^4+6z^3-15z^2+17z-6
856,False,\frac{8}{45},\frac{2}{15}
857,False,180,170
858,False,\frac{2}{3},\frac{1}{2}
859,False,47,44
860,False,\frac{14}{3},6
861,False,112,178
862,False,14 \pi,12\pi
863,False,33840,54448
864,False,\frac{25}{8},\frac{49}{8}
865,False,-2-14i,-3-14i
866,False, \frac{1}{8},\frac{1}{12}
867,True,4,4
868,False,1320,1848
869,False,6,13
870,False,6,12
871,False,0.015,0.015625
872,False,30,18
873,False,79,83
874,False,79,78
875,False,15,17
876,False,-\frac{4}{5},-\frac{3}{5}
877,False,11,17
878,False,96,65
879,False,-2,-4
880,False,52,40
881,False,20,22
882,False,\frac{2}{3},\frac{6}{11}
883,False,36x \sqrt{35x},24x\sqrt{35x}
884,False,3600,4900
885,False,1736,-64
886,False,-\frac{1}{4},-\frac{1}{9}
887,False,8281,8464
888,False,5,3
889,False,4,5
890,False,72,42
891,False,10455,10506
892,False, \frac{1}{5} + \frac{3}{5}i ,\frac{3}{5} + \frac{4}{5}i
893,True,\frac{1}{4},\frac{1}{4}
894,True,"(-\infty,0)\cup (0,\infty)","(-\infty,0)\cup (0,\infty)"
895,False,"7,9,12,13","6,8,11,12"
896,False,26,22
897,False,3,4
898,False,26\pi,20\pi
899,False,"(-7, -2)","(-8, -1)"
900,False,4,8
901,False,\frac{7}{25},\frac{21}{50}
902,False,158,210
903,False,1160,1172
904,False,-56,-72
905,False,\frac{42}{5},\frac{52}{5}
906,False,7,5
907,False,-15,-12
908,False,-7,-14
909,True,2,2
910,False,135,110
911,False,9,11
912,False,\frac83,\frac{11}{3}
913,False,8,9
914,False,4,2
915,False,217,175
916,False,14,32
917,False,32736,7980
918,False,2,3
919,False,-\frac{10}{3},-8
920,False,63,84
921,False,\frac{1}{4},\frac{1}{6}
922,False,50,60
923,False,2,3
924,False,4,6
925,False,18,20
926,True,1,1
927,False,-128,-1458
928,False,-5,-6
929,False,-39,-27
930,False,6,4
931,False,\frac{47}{24},\frac{35}{24}
932,False,28,37
933,False,-128,-153
934,False,-3,-2
935,False,12,13
936,False,\frac{1}{2},\frac{1}{3}
937,False,3,5
938,False,128,96
939,False,2x^2-18,2x^2-32
940,False,1,4
941,False,25,36
942,False,-4,-5
943,False,14,16
944,False,"(1,4)","(2,7)"
945,False,5,4
946,False,10,6
947,False,3,4
948,False,"(-\infty,-4)\cup(-4,6)\cup(6,\infty)","(-\infty,-5)\cup(-5,7)\cup(7,\infty)"
949,False,8-i,11-3i
950,False,12,14
951,False,0,-15
952,False,\frac{11}{15},\frac{17}{30}
953,False,1,2
954,False,3,4
955,False,28,23
956,False,\frac{5}{36},\frac{21}{100}
957,False,6,10
958,False,-6,6
959,False,11,9
960,False,2015,2079
961,False,"(-7, 3)","(-5, 3)"
962,False,65,75
963,False,12,14
964,False,2,3
965,False,35,33
966,False,3,4
967,False,48,36
968,False,\sqrt{10},3\sqrt{2}
969,False,3,4
970,False,8,9
971,False,70,241
972,False,49,64
973,False,400,576
974,True,4,4
975,False,4,5
976,False,3,5
977,False,368,441
978,False,\frac{13}{6},\frac{11}{6}
979,False,15,18
980,False,11,13
981,False,268,151
982,False,-16,-14
983,False,"(1,1)","(1,2)"
984,False,13,15
985,False,\frac 34,\frac{3}{5}
986,False,15,16
987,False,-3,-4
988,False,4005,4009
989,False,\frac{5\sqrt{3}}{3},\frac{7\sqrt{3}}{3}
990,False,6p^4 + 5p^2 - 4,6p^4+7p^2-5
991,False,81,729
992,False,2,4
993,False,1056,10100
994,False,33,36
995,False,21,25
996,False,78,166
997,False,-\dfrac{4}{25},-\dfrac{9}{25}
998,False,"(3,-3)","(4,-4)"
999,False,-23.5,-29.5
1000,False,11,2
1001,False,-1,-2
1002,False,\frac{2}{3},\frac{3}{4}
1003,False,"(-\infty,-2)\cup (-2,3)\cup (3,\infty)","(-\infty,-3)\cup (-3,4)\cup (4,\infty)"
1004,False,60000,50000
1005,False,600,1260
1006,False,4,5
1007,False,5,4
1008,False,1,2
1009,False,a^3 + a^2,a^3 + 2a^2 + a
1010,False,37,23
1011,False,89,69
1012,True,0,0
1013,False,-6.5,-3
1014,False,\frac{1}{9},\frac{1}{4}
1015,False,-1,-2
1016,False,495,600
1017,False,1,2
1018,False,19,22
1019,False,672,740
1020,False,-4,-6
1021,False,8,10
1022,False,\frac{3}{2},2
1023,True,5,5
1024,False,920.25,1025
1025,False,6x^2 + 30x + 36,6x^2 + 42x + 72
1026,False,120,140
1027,False,3.5,2.5
1028,False,\!\sqrt{33},\!\sqrt{55}
1029,False,\frac{h^2}{m},\frac{2h^2}{m}
1030,False,1,-2
1031,False,19,23
1032,False,-814+3698i,-812+3698i
1033,False,3.21,3.36
1034,False,10,5
1035,False,"[6,\infty)","[8,\infty)"
1036,False,\frac{3}{32},\frac{4}{243}
1037,False,4,2
1038,False,11,15
1039,False,13,14
1040,False,84,100
1041,False,11,4
1042,False,3,4
1043,False,2,3
1044,False,25,36
1045,False,10,14
1046,False,36,45
1047,False,9,10
1048,False,45,18
1049,False,4,7
1050,False,2,1
1051,False,-4,-5
1052,False,"[-10,4]","[-8,6]"
1053,False,-2,-3
1054,True,4,4
1055,False,165,220
1056,False,6,9
1057,False,25,20
1058,False,16,20
1059,False,1545,927
1060,False,\frac{17}{8},2
1061,False,7,9
1062,False,\frac19,\frac{1}{16}
1063,False,\frac{i}{5},\frac{3i}{5}
1064,False,600,680
1065,False,3,2
1066,False,117,135
1067,False,9901,9703
1068,False,-10,-6
1069,False,144,16
1070,False,-\frac12,-\frac{3}{2}
1071,False,p+q-r,2p+q-r
1072,False,-9,-12
1073,False,6,8
1074,False,19,9
1075,False,19,18
1076,False,21,19
1077,False,221,181
1078,False,5,7
1079,False,5000,5200
1080,False,\frac{1}{5},\frac{1}{7}
1081,False,2,4
1082,False,243,729
1083,True,1,1
1084,False,-5,-6
1085,False,11,13
1086,False,"(1,-2)","(1,-3)"
1087,False,1,13
1088,False,-2,-4
1089,False,\sqrt{6},\frac{3}{2}
1090,False,5,6
1091,False,3,4
1092,False,21,20
