params_M,replicas,subset_fraction,overtrain,benchmark,in_cache_with_loss,found_in_wandb,wandb_has_loss
63,316,1.0,1.0,EleutherAI/minerva_math,True,rylan/memorization-scoring-vs-sampling-pt-v2,True
63,316,1.0,2.0,EleutherAI/minerva_math,True,,False
63,316,1.0,4.0,EleutherAI/minerva_math,True,,False
63,316,1.0,8.0,EleutherAI/minerva_math,True,,False
63,316,1.0,16.0,EleutherAI/minerva_math,True,,False
63,1000,1.0,2.0,EleutherAI/minerva_math,True,,False
63,1000,1.0,4.0,EleutherAI/minerva_math,True,,False
63,1000,1.0,8.0,EleutherAI/minerva_math,True,,False
63,1000,1.0,16.0,EleutherAI/minerva_math,True,,False
63,3162,1.0,4.0,EleutherAI/minerva_math,True,,False
63,3162,1.0,8.0,EleutherAI/minerva_math,True,,False
63,3162,1.0,16.0,EleutherAI/minerva_math,True,,False
93,0,1.0,1.0,EleutherAI/minerva_math,True,rylan/memorization-scoring-vs-sampling-pt-v2,True
93,0,1.0,2.0,EleutherAI/minerva_math,True,,False
93,0,1.0,4.0,EleutherAI/minerva_math,True,,False
93,0,1.0,8.0,EleutherAI/minerva_math,True,,False
93,0,1.0,16.0,EleutherAI/minerva_math,True,,False
93,1,1.0,1.0,EleutherAI/minerva_math,True,rylan/memorization-scoring-vs-sampling-pt-v2,True
93,1,1.0,2.0,EleutherAI/minerva_math,True,,False
93,1,1.0,4.0,EleutherAI/minerva_math,True,,False
93,1,1.0,8.0,EleutherAI/minerva_math,True,,False
93,1,1.0,16.0,EleutherAI/minerva_math,True,,False
93,3,1.0,1.0,EleutherAI/minerva_math,True,rylan/memorization-scoring-vs-sampling-pt-v2,True
93,3,1.0,2.0,EleutherAI/minerva_math,True,,False
93,3,1.0,4.0,EleutherAI/minerva_math,True,,False
93,3,1.0,8.0,EleutherAI/minerva_math,True,,False
93,3,1.0,16.0,EleutherAI/minerva_math,True,,False
93,10,1.0,1.0,EleutherAI/minerva_math,True,rylan/memorization-scoring-vs-sampling-pt-v2,True
93,10,1.0,2.0,EleutherAI/minerva_math,True,,False
93,10,1.0,4.0,EleutherAI/minerva_math,True,,False
93,10,1.0,8.0,EleutherAI/minerva_math,True,,False
93,10,1.0,16.0,EleutherAI/minerva_math,True,,False
93,32,1.0,1.0,EleutherAI/minerva_math,True,rylan/memorization-scoring-vs-sampling-pt-v2,True
93,32,1.0,2.0,EleutherAI/minerva_math,True,,False
93,32,1.0,4.0,EleutherAI/minerva_math,True,,False
93,32,1.0,8.0,EleutherAI/minerva_math,True,,False
93,32,1.0,16.0,EleutherAI/minerva_math,True,,False
93,100,1.0,1.0,EleutherAI/minerva_math,True,rylan/memorization-scoring-vs-sampling-pt-v2,True
93,100,1.0,2.0,EleutherAI/minerva_math,True,,False
93,100,1.0,4.0,EleutherAI/minerva_math,True,,False
93,100,1.0,8.0,EleutherAI/minerva_math,True,,False
93,100,1.0,16.0,EleutherAI/minerva_math,True,,False
93,316,1.0,1.0,EleutherAI/minerva_math,True,rylan/memorization-scoring-vs-sampling-pt-v2,True
93,316,1.0,2.0,EleutherAI/minerva_math,True,,False
93,316,1.0,4.0,EleutherAI/minerva_math,True,,False
93,316,1.0,8.0,EleutherAI/minerva_math,True,,False
93,316,1.0,16.0,EleutherAI/minerva_math,True,,False
93,1000,1.0,1.0,EleutherAI/minerva_math,True,rylan/memorization-scoring-vs-sampling-pt-v2,True
93,1000,1.0,2.0,EleutherAI/minerva_math,True,,False
93,1000,1.0,4.0,EleutherAI/minerva_math,True,,False
93,1000,1.0,8.0,EleutherAI/minerva_math,True,,False
93,1000,1.0,16.0,EleutherAI/minerva_math,True,,False
93,3162,1.0,4.0,EleutherAI/minerva_math,True,,False
93,3162,1.0,8.0,EleutherAI/minerva_math,True,,False
93,3162,1.0,16.0,EleutherAI/minerva_math,True,,False
153,0,1.0,1.0,EleutherAI/minerva_math,True,,False
153,1,1.0,1.0,EleutherAI/minerva_math,True,,False
153,3,1.0,1.0,EleutherAI/minerva_math,True,,False
153,10,1.0,1.0,EleutherAI/minerva_math,True,,False
153,32,1.0,1.0,EleutherAI/minerva_math,True,,False
153,100,1.0,1.0,EleutherAI/minerva_math,True,,False
153,316,1.0,1.0,EleutherAI/minerva_math,True,,False
153,1000,1.0,1.0,EleutherAI/minerva_math,True,,False
344,0,1.0,1.0,EleutherAI/minerva_math,True,,False
344,0,1.0,2.0,EleutherAI/minerva_math,True,,False
344,0,1.0,4.0,EleutherAI/minerva_math,True,,False
344,0,1.0,8.0,EleutherAI/minerva_math,True,,False
344,0,1.0,16.0,EleutherAI/minerva_math,True,,False
344,1,1.0,1.0,EleutherAI/minerva_math,True,,False
344,1,1.0,2.0,EleutherAI/minerva_math,True,,False
344,1,1.0,4.0,EleutherAI/minerva_math,True,,False
344,1,1.0,8.0,EleutherAI/minerva_math,True,,False
344,1,1.0,16.0,EleutherAI/minerva_math,True,,False
344,3,1.0,1.0,EleutherAI/minerva_math,True,,False
344,3,1.0,2.0,EleutherAI/minerva_math,True,,False
344,3,1.0,4.0,EleutherAI/minerva_math,True,,False
344,3,1.0,8.0,EleutherAI/minerva_math,True,,False
344,3,1.0,16.0,EleutherAI/minerva_math,True,,False
344,10,1.0,1.0,EleutherAI/minerva_math,True,,False
344,10,1.0,2.0,EleutherAI/minerva_math,True,,False
344,10,1.0,4.0,EleutherAI/minerva_math,True,,False
344,10,1.0,8.0,EleutherAI/minerva_math,True,,False
344,10,1.0,16.0,EleutherAI/minerva_math,False,,False
344,32,1.0,1.0,EleutherAI/minerva_math,True,,False
344,32,1.0,2.0,EleutherAI/minerva_math,True,,False
344,32,1.0,4.0,EleutherAI/minerva_math,True,,False
344,32,1.0,8.0,EleutherAI/minerva_math,True,,False
344,32,1.0,16.0,EleutherAI/minerva_math,True,,False
344,100,1.0,1.0,EleutherAI/minerva_math,True,,False
344,100,1.0,2.0,EleutherAI/minerva_math,True,,False
344,100,1.0,4.0,EleutherAI/minerva_math,True,,False
344,100,1.0,8.0,EleutherAI/minerva_math,True,,False
344,100,1.0,16.0,EleutherAI/minerva_math,False,,False
344,316,1.0,1.0,EleutherAI/minerva_math,True,,False
344,316,1.0,2.0,EleutherAI/minerva_math,True,,False
344,316,1.0,4.0,EleutherAI/minerva_math,True,,False
344,316,1.0,8.0,EleutherAI/minerva_math,True,,False
344,316,1.0,16.0,EleutherAI/minerva_math,False,,False
344,1000,1.0,1.0,EleutherAI/minerva_math,True,,False
344,1000,1.0,2.0,EleutherAI/minerva_math,True,,False
344,1000,1.0,4.0,EleutherAI/minerva_math,True,,False
344,1000,1.0,8.0,EleutherAI/minerva_math,True,,False
344,3162,1.0,1.0,EleutherAI/minerva_math,True,,False
344,3162,1.0,2.0,EleutherAI/minerva_math,True,,False
344,3162,1.0,4.0,EleutherAI/minerva_math,True,,False
344,3162,1.0,8.0,EleutherAI/minerva_math,True,,False
344,3162,1.0,16.0,EleutherAI/minerva_math,False,,False
