project,sweep,run_id,state,created,dataset,Parameters,Num. Replicas,temperature,model
memorization-scoring-vs-sampling-eval-teacher-forcing,qo2zoai5,klgozmtu,finished,2026-03-29T04:46:23Z,stellaathena/math_perturbed,344M,3,,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_3_sbst_1.0000_epch_1_ot_1_sft
memorization-scoring-vs-sampling-eval-teacher-forcing,qo2zoai5,mf4ze0x6,finished,2026-03-29T04:55:39Z,stellaathena/math_perturbed,344M,10,,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_10_sbst_1.0000_epch_1_ot_1_sft
memorization-scoring-vs-sampling-eval-teacher-forcing,qo2zoai5,5t1z01nj,finished,2026-03-29T04:55:40Z,stellaathena/math_perturbed,344M,32,,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_32_sbst_1.0000_epch_1_ot_1_sft
memorization-scoring-vs-sampling-eval-teacher-forcing,qo2zoai5,u1pn29sl,finished,2026-03-29T04:55:41Z,stellaathena/math_perturbed,344M,100,,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_100_sbst_1.0000_epch_1_ot_1_sft
memorization-scoring-vs-sampling-eval-teacher-forcing,qo2zoai5,8xadyae9,finished,2026-03-29T05:05:32Z,stellaathena/math_perturbed,344M,316,,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_316_sbst_1.0000_epch_1_ot_1_sft
memorization-scoring-vs-sampling-eval-teacher-forcing,qo2zoai5,t5jmwdh2,finished,2026-03-29T05:05:33Z,stellaathena/math_perturbed,344M,1000,,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_1000_sbst_1.0000_epch_1_ot_1_sft
memorization-scoring-vs-sampling-eval-teacher-forcing,qo2zoai5,lho3xjga,finished,2026-03-29T05:05:34Z,stellaathena/math_perturbed,344M,3162,,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_3162_sbst_1.0000_epch_1_ot_1_sft
memorization-scoring-vs-sampling-eval-teacher-forcing,qo2zoai5,vcpa5s8w,finished,2026-03-29T05:14:51Z,stellaathena/math_perturbed,153M,0,,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_0_sbst_1.0000_epch_1_ot_1
memorization-scoring-vs-sampling-eval-teacher-forcing,qo2zoai5,ty5io0gu,finished,2026-03-29T05:14:55Z,stellaathena/math_perturbed,153M,1,,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_1_sbst_1.0000_epch_1_ot_1
memorization-scoring-vs-sampling-eval-teacher-forcing,qo2zoai5,bj7r3tgn,finished,2026-03-29T05:14:55Z,stellaathena/math_perturbed,153M,3,,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_3_sbst_1.0000_epch_1_ot_1
memorization-scoring-vs-sampling-eval-teacher-forcing,qo2zoai5,0z4mut4a,finished,2026-03-29T05:23:58Z,stellaathena/math_perturbed,153M,10,,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_10_sbst_1.0000_epch_1_ot_1
memorization-scoring-vs-sampling-eval-teacher-forcing,qo2zoai5,80ov71d3,finished,2026-03-29T05:24:03Z,stellaathena/math_perturbed,153M,32,,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_32_sbst_1.0000_epch_1_ot_1
memorization-scoring-vs-sampling-eval-teacher-forcing,qo2zoai5,j9f2yq1j,finished,2026-03-29T05:24:08Z,stellaathena/math_perturbed,153M,100,,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_100_sbst_1.0000_epch_1_ot_1
memorization-scoring-vs-sampling-eval-teacher-forcing,qo2zoai5,cuh0jx8o,finished,2026-03-29T05:47:17Z,stellaathena/math_perturbed,153M,316,,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_316_sbst_1.0000_epch_1_ot_1
memorization-scoring-vs-sampling-eval-teacher-forcing,qo2zoai5,ij8sv7v0,finished,2026-03-29T05:47:18Z,stellaathena/math_perturbed,153M,1000,,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_1000_sbst_1.0000_epch_1_ot_1
memorization-scoring-vs-sampling-eval-teacher-forcing,qo2zoai5,zrla6zt2,finished,2026-03-29T05:56:26Z,stellaathena/math_perturbed,153M,0,,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_0_sbst_1.0000_epch_1_ot_1_sft
memorization-scoring-vs-sampling-eval-teacher-forcing,qo2zoai5,lx0u9w1g,finished,2026-03-29T05:56:30Z,stellaathena/math_perturbed,153M,1,,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_1_sbst_1.0000_epch_1_ot_1_sft
memorization-scoring-vs-sampling-eval-teacher-forcing,qo2zoai5,5lhvuu6t,finished,2026-03-29T06:05:38Z,stellaathena/math_perturbed,153M,3,,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_3_sbst_1.0000_epch_1_ot_1_sft
memorization-scoring-vs-sampling-eval-teacher-forcing,qo2zoai5,4ut14pdk,finished,2026-03-29T06:05:42Z,stellaathena/math_perturbed,153M,10,,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_10_sbst_1.0000_epch_1_ot_1_sft
memorization-scoring-vs-sampling-eval-teacher-forcing,qo2zoai5,9jnvq2rt,finished,2026-03-29T06:14:51Z,stellaathena/math_perturbed,153M,32,,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_32_sbst_1.0000_epch_1_ot_1_sft
memorization-scoring-vs-sampling-eval-teacher-forcing,qo2zoai5,zckqpoq7,finished,2026-03-29T06:14:54Z,stellaathena/math_perturbed,153M,100,,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_100_sbst_1.0000_epch_1_ot_1_sft
memorization-scoring-vs-sampling-eval-teacher-forcing,qo2zoai5,yab29auj,finished,2026-03-29T06:24:02Z,stellaathena/math_perturbed,153M,316,,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_316_sbst_1.0000_epch_1_ot_1_sft
memorization-scoring-vs-sampling-eval-teacher-forcing,qo2zoai5,u2uqucj1,finished,2026-03-29T06:24:07Z,stellaathena/math_perturbed,153M,1000,,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_1000_sbst_1.0000_epch_1_ot_1_sft
memorization-scoring-vs-sampling-eval-teacher-forcing,onaspopu,f7cyidpy,finished,2026-04-06T04:05:09Z,RylanSchaeffer/math_perturbed,344M,0,,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_0_sbst_1.0000_epch_1_ot_1
memorization-scoring-vs-sampling-eval-teacher-forcing,onaspopu,ve5m6h2y,finished,2026-04-06T04:05:10Z,RylanSchaeffer/math_perturbed,344M,1,,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_1_sbst_1.0000_epch_1_ot_1
memorization-scoring-vs-sampling-eval-teacher-forcing,onaspopu,q2dyy9ro,finished,2026-04-06T04:05:11Z,RylanSchaeffer/math_perturbed,344M,3,,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_3_sbst_1.0000_epch_1_ot_1
memorization-scoring-vs-sampling-eval-teacher-forcing,onaspopu,pmzkedqd,finished,2026-04-06T04:05:12Z,RylanSchaeffer/math_perturbed,344M,10,,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_10_sbst_1.0000_epch_1_ot_1
memorization-scoring-vs-sampling-eval-teacher-forcing,onaspopu,ab0hmusp,finished,2026-04-06T04:14:36Z,RylanSchaeffer/math_perturbed,344M,32,,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_32_sbst_1.0000_epch_1_ot_1
memorization-scoring-vs-sampling-eval-teacher-forcing,onaspopu,ksqce0d0,finished,2026-04-06T04:14:38Z,RylanSchaeffer/math_perturbed,344M,100,,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_100_sbst_1.0000_epch_1_ot_1
memorization-scoring-vs-sampling-eval-teacher-forcing,onaspopu,xda6dyf4,finished,2026-04-06T04:14:39Z,RylanSchaeffer/math_perturbed,344M,316,,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_316_sbst_1.0000_epch_1_ot_1
memorization-scoring-vs-sampling-eval-teacher-forcing,onaspopu,xfqjjrbi,finished,2026-04-06T04:14:42Z,RylanSchaeffer/math_perturbed,344M,1000,,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_1000_sbst_1.0000_epch_1_ot_1
memorization-scoring-vs-sampling-eval-teacher-forcing,onaspopu,i03pgtjw,finished,2026-04-06T04:16:37Z,RylanSchaeffer/math_perturbed,344M,3162,,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_3162_sbst_1.0000_epch_1_ot_1
memorization-scoring-vs-sampling-eval-teacher-forcing,onaspopu,vwamtg1g,finished,2026-04-06T04:16:37Z,RylanSchaeffer/math_perturbed,344M,0,,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_0_sbst_1.0000_epch_1_ot_1_sft
memorization-scoring-vs-sampling-eval-teacher-forcing,onaspopu,em1s2etk,finished,2026-04-06T04:16:38Z,RylanSchaeffer/math_perturbed,344M,1,,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_1_sbst_1.0000_epch_1_ot_1_sft
memorization-scoring-vs-sampling-eval-teacher-forcing,onaspopu,mhvpt4n6,finished,2026-04-06T04:16:39Z,RylanSchaeffer/math_perturbed,344M,3,,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_3_sbst_1.0000_epch_1_ot_1_sft
memorization-scoring-vs-sampling-eval-teacher-forcing,onaspopu,bwsgft1t,finished,2026-04-06T04:18:35Z,RylanSchaeffer/math_perturbed,344M,10,,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_10_sbst_1.0000_epch_1_ot_1_sft
memorization-scoring-vs-sampling-eval-teacher-forcing,onaspopu,efsmh3hn,finished,2026-04-06T04:18:37Z,RylanSchaeffer/math_perturbed,344M,32,,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_32_sbst_1.0000_epch_1_ot_1_sft
memorization-scoring-vs-sampling-eval-teacher-forcing,onaspopu,u2mvnmur,finished,2026-04-06T04:18:41Z,RylanSchaeffer/math_perturbed,344M,100,,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_100_sbst_1.0000_epch_1_ot_1_sft
memorization-scoring-vs-sampling-eval-teacher-forcing,onaspopu,anm334wm,finished,2026-04-06T04:18:41Z,RylanSchaeffer/math_perturbed,344M,316,,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_316_sbst_1.0000_epch_1_ot_1_sft
memorization-scoring-vs-sampling-eval-teacher-forcing,onaspopu,j8voruhi,finished,2026-04-06T04:20:28Z,RylanSchaeffer/math_perturbed,344M,1000,,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_1000_sbst_1.0000_epch_1_ot_1_sft
memorization-scoring-vs-sampling-eval-teacher-forcing,onaspopu,alm4ib7b,finished,2026-04-06T04:20:30Z,RylanSchaeffer/math_perturbed,344M,3162,,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_3162_sbst_1.0000_epch_1_ot_1_sft
memorization-scoring-vs-sampling-eval-teacher-forcing,onaspopu,3bmp2ofv,finished,2026-04-06T04:20:34Z,RylanSchaeffer/math_perturbed,153M,0,,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_0_sbst_1.0000_epch_1_ot_1
memorization-scoring-vs-sampling-eval-teacher-forcing,onaspopu,fjt880kd,finished,2026-04-06T04:20:38Z,RylanSchaeffer/math_perturbed,153M,1,,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_1_sbst_1.0000_epch_1_ot_1
memorization-scoring-vs-sampling-eval-teacher-forcing,onaspopu,cepmkyia,finished,2026-04-06T04:22:21Z,RylanSchaeffer/math_perturbed,153M,3,,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_3_sbst_1.0000_epch_1_ot_1
memorization-scoring-vs-sampling-eval-teacher-forcing,onaspopu,w4t6l2l2,finished,2026-04-06T04:22:23Z,RylanSchaeffer/math_perturbed,153M,10,,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_10_sbst_1.0000_epch_1_ot_1
memorization-scoring-vs-sampling-eval-teacher-forcing,onaspopu,e2vgdezm,finished,2026-04-06T04:22:32Z,RylanSchaeffer/math_perturbed,153M,32,,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_32_sbst_1.0000_epch_1_ot_1
memorization-scoring-vs-sampling-eval-teacher-forcing,onaspopu,wp6ohu2p,finished,2026-04-06T04:22:36Z,RylanSchaeffer/math_perturbed,153M,100,,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_100_sbst_1.0000_epch_1_ot_1
memorization-scoring-vs-sampling-eval-teacher-forcing,onaspopu,q2ev7h77,finished,2026-04-06T04:24:14Z,RylanSchaeffer/math_perturbed,153M,316,,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_316_sbst_1.0000_epch_1_ot_1
memorization-scoring-vs-sampling-eval-teacher-forcing,onaspopu,psahk5as,finished,2026-04-06T04:24:21Z,RylanSchaeffer/math_perturbed,153M,1000,,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_1000_sbst_1.0000_epch_1_ot_1
memorization-scoring-vs-sampling-eval-teacher-forcing,onaspopu,v9vbk40g,finished,2026-04-06T04:24:25Z,RylanSchaeffer/math_perturbed,153M,0,,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_0_sbst_1.0000_epch_1_ot_1_sft
memorization-scoring-vs-sampling-eval-teacher-forcing,onaspopu,yqz54qhw,finished,2026-04-06T04:24:35Z,RylanSchaeffer/math_perturbed,153M,1,,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_1_sbst_1.0000_epch_1_ot_1_sft
memorization-scoring-vs-sampling-eval-teacher-forcing,onaspopu,tu9yll6v,finished,2026-04-06T04:26:06Z,RylanSchaeffer/math_perturbed,153M,3,,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_3_sbst_1.0000_epch_1_ot_1_sft
memorization-scoring-vs-sampling-eval-teacher-forcing,onaspopu,3bj3ojqn,finished,2026-04-06T04:26:18Z,RylanSchaeffer/math_perturbed,153M,10,,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_10_sbst_1.0000_epch_1_ot_1_sft
memorization-scoring-vs-sampling-eval-teacher-forcing,onaspopu,cct7r71n,finished,2026-04-06T04:26:19Z,RylanSchaeffer/math_perturbed,153M,32,,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_32_sbst_1.0000_epch_1_ot_1_sft
memorization-scoring-vs-sampling-eval-teacher-forcing,onaspopu,g55z68a9,finished,2026-04-06T04:26:27Z,RylanSchaeffer/math_perturbed,153M,100,,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_100_sbst_1.0000_epch_1_ot_1_sft
memorization-scoring-vs-sampling-eval-teacher-forcing,onaspopu,7e3ub9p2,finished,2026-04-06T04:27:59Z,RylanSchaeffer/math_perturbed,153M,316,,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_316_sbst_1.0000_epch_1_ot_1_sft
memorization-scoring-vs-sampling-eval-teacher-forcing,onaspopu,eo5l9g36,finished,2026-04-06T04:28:11Z,RylanSchaeffer/math_perturbed,153M,1000,,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_1000_sbst_1.0000_epch_1_ot_1_sft
